id,Pobre_classification,Pobre_income
2db131a310a4ee883e16ba08,No_Pobre,No_Pobre
ba99abe57aff2f306e82fbb3,Pobre,No_Pobre
175274af944940b929c318e6,No_Pobre,No_Pobre
c166e578e57585fab4f3f147,No_Pobre,No_Pobre
57e6668bd05bf61f71bf2553,No_Pobre,No_Pobre
406c413cb93b5fa9730f23d1,No_Pobre,No_Pobre
2581fce6fb23a5c0777c88be,No_Pobre,No_Pobre
f1b55d23ba8e58ede5f99167,No_Pobre,No_Pobre
1c9f6b1560cdc929a697003f,No_Pobre,No_Pobre
c5b8d15caf799e68445f173e,No_Pobre,No_Pobre
011df2fa83943f2c2e0052c2,No_Pobre,No_Pobre
ef742e1db052abe4d2ef8bbb,No_Pobre,No_Pobre
cb61ecffdf376ce5f4e39a18,No_Pobre,No_Pobre
4f1a8c2b47f8aea05f8827c9,No_Pobre,No_Pobre
059e4958c0442373ceea4a75,No_Pobre,No_Pobre
e4cade8175dd59bd5d91184d,No_Pobre,No_Pobre
88595ee4981257afdb86acbe,Pobre,No_Pobre
5fcc02e325dbf1deb15a6a10,No_Pobre,No_Pobre
1bc9f3a94d1bbf9224f14838,No_Pobre,No_Pobre
10435a749f1b060c0907bde4,No_Pobre,No_Pobre
87920e4432fe5cf86d467d4b,No_Pobre,No_Pobre
2ee505eb2954529ae1f44e35,No_Pobre,No_Pobre
aa80459045e14fc4d605f8ae,No_Pobre,No_Pobre
8415707882f9a579c7b859a5,Pobre,No_Pobre
d7a12b4bbb67abda7275b45f,Pobre,No_Pobre
f9184ca2902eaa82819a20dd,No_Pobre,No_Pobre
aefa744cdafb483d01551126,No_Pobre,No_Pobre
de040ba030eaa3adea6184e8,No_Pobre,No_Pobre
7deac6b7827600b5c6cd254f,No_Pobre,No_Pobre
43ecf29c4f52f2019297d801,No_Pobre,No_Pobre
681721182ac480143086151b,No_Pobre,No_Pobre
744ce2f66156bed7e43c27e9,No_Pobre,No_Pobre
37761a17ba3599258538895f,No_Pobre,No_Pobre
640e32f39e3b72f2679752a2,No_Pobre,No_Pobre
ea054d60868efb980c2165fb,No_Pobre,No_Pobre
61ae7a578cdb8beac47bea2d,Pobre,No_Pobre
a0c17886f24c06e81b197980,No_Pobre,No_Pobre
b28b50d33fafa0e04549e4cc,Pobre,Pobre
4f7c434fca889389207f051e,Pobre,No_Pobre
835c1690e4d72be1fb20f608,No_Pobre,No_Pobre
848586c6334da2b49e932dab,No_Pobre,No_Pobre
e86ba35ed8934675d42a0937,No_Pobre,No_Pobre
7e30449c867f5f80f63860ee,Pobre,No_Pobre
9b145343454d920473520141,Pobre,No_Pobre
d994a640a8b913d381d34156,No_Pobre,No_Pobre
68c2872ea78af8c1a63aaa5a,No_Pobre,No_Pobre
5e1f025ffbb319f909b5953e,No_Pobre,No_Pobre
6303fef8969ab8003354fcf1,No_Pobre,No_Pobre
77a140682840af6bc2f0a4bf,No_Pobre,No_Pobre
3e42eb30f8942feb8f09ac5c,No_Pobre,No_Pobre
b96bb67a837d502257f63197,No_Pobre,No_Pobre
d525ffa3f51c902a5b383c80,No_Pobre,No_Pobre
2385667d67f633f11503c64f,No_Pobre,No_Pobre
8eaffd8536e4aa3dc8db6dfd,No_Pobre,No_Pobre
eac46eb50e226a245a52fbbc,Pobre,No_Pobre
b66b2cd79e7d3aee36e2082a,Pobre,No_Pobre
337aae750979e6832b20ef0d,No_Pobre,No_Pobre
1f258eeab5a0bb2f991ba5c6,Pobre,No_Pobre
bdd1c58b1b58a8a2e8774baf,No_Pobre,No_Pobre
2b931ae172abfd262870d07b,No_Pobre,No_Pobre
d7b94b3333ed4b71e3ec6afe,No_Pobre,No_Pobre
0572c179c0d866260997b59c,No_Pobre,No_Pobre
3256a1a2a438e90924541b41,Pobre,No_Pobre
21fb3d58e4e43b4f42b6c6e6,No_Pobre,No_Pobre
8a21ea99bb168cd92ce96279,No_Pobre,No_Pobre
484c053f691c81e44db6802d,No_Pobre,No_Pobre
5e73e16d6fb10f2b6e5387e6,Pobre,No_Pobre
3b97ba7d85738ca797a8cb12,No_Pobre,No_Pobre
11d4cbdd32bcabf2984b8245,No_Pobre,No_Pobre
bfe607fb77b45edf9bf14f5c,No_Pobre,No_Pobre
20cde42fae298c7c29bd1cf8,No_Pobre,Pobre
3e1d745d28ec13c64fae16b8,No_Pobre,No_Pobre
bcc2630471bd12210702dc6f,Pobre,Pobre
ef291bc8821a77c7a5af8c6b,No_Pobre,No_Pobre
be91127bc32390c5a0fc0858,No_Pobre,No_Pobre
0c57b2699da58cbec6a77c3e,No_Pobre,No_Pobre
c9d273b432534f1aade98b22,No_Pobre,No_Pobre
d0473752acd601e6439de536,Pobre,No_Pobre
14928eb5b87fed35666b94d2,No_Pobre,No_Pobre
2c1aa432d684689271e0c1c6,No_Pobre,No_Pobre
29c7bc07133e459dd495b341,Pobre,No_Pobre
7aeacfc2dfab0c7c08314286,No_Pobre,No_Pobre
e5a8c4c96e3fd40e1cf13e20,No_Pobre,No_Pobre
1b19f9ff763d6e4dd668ac5c,No_Pobre,No_Pobre
b94f1aca4da652fffe8e84e3,No_Pobre,No_Pobre
cf9c79668dcbd9ebd80bc30f,No_Pobre,No_Pobre
2f32f77ab674dd4f1320921c,Pobre,No_Pobre
8aedc868013e3ff4e5a719c1,No_Pobre,No_Pobre
ad2da9b83d303ca47e703797,No_Pobre,No_Pobre
7c4a189d6095ac53b6c2f67d,No_Pobre,No_Pobre
15db15d8449c1d58c5b946a3,No_Pobre,No_Pobre
772cde931d433a10852b1ee9,No_Pobre,No_Pobre
a4c0f3bdec6274e128fc72b4,No_Pobre,No_Pobre
a5c23e7ac5d6d141fd710ad7,No_Pobre,No_Pobre
76e6a89153e2e0c028c96510,No_Pobre,No_Pobre
1abdc6fc42a661e789325b86,No_Pobre,No_Pobre
8e614d4c24428e754f3fe05e,No_Pobre,No_Pobre
2a148fc1bda2181ec2c195bb,No_Pobre,No_Pobre
2cdf59431796400a70f53921,No_Pobre,No_Pobre
3b533146c71d337e1dbdfcb4,No_Pobre,No_Pobre
e98569d0748f2a52f8b0a450,Pobre,No_Pobre
71ba195e82102b358a551045,No_Pobre,No_Pobre
9fcbd73c4416dcfa39e9e782,No_Pobre,No_Pobre
86664902b9744e7c6029cfec,No_Pobre,No_Pobre
215d8eca9bf01c39481e90bd,No_Pobre,No_Pobre
ef5b6ef6cc026ccf24528f72,No_Pobre,No_Pobre
809f67ac2e01881b42824587,No_Pobre,No_Pobre
f017b701d885c6ee33a62181,Pobre,No_Pobre
7b0ac085c54155f599358e31,No_Pobre,Pobre
27a48ac3657725c65d7b5da8,No_Pobre,No_Pobre
